GROUP,density,NPP,ID,sampleID
KWANGA(BONGOS),17.7,2264.40509407115,AG,0
SAMBERIGI,4.3,2216.95757550385,AG,0
GADIO,0.4,2306.8255261974,AG,0
WOVAN,4.6,2302.05694138431,AG,0
HEWA,1.9,2379.27275768885,AG,0
KOPON (LOWER,10.9,2280.31669277127,AG,0
ATBALMIN,2.6,2389.70329014297,AG,0
ANKAVE,1.1,2110.60439997429,AG,0
MUYU (SOUTH),10.8,2611.18164293193,AG,0
YURI,7.5,2456.19551172253,AG,0
TIFAL,4.1,2162.42771565778,AG,0
GEBUSI,1.8,2588.48966636317,AG,0
MINAMIN(WEST),1.1,2300.19631623278,AG,0
SAMBIA,7.8,2409.93625381929,AG,0
ASABANO,0.4,2184.39903288507,AG,0
MIANMIN(EAST,1.4,2356.76620844631,AG,0
SAMO,3.1,2583.17961816175,AG,0
GUNTAI,0.3,1947.16735524092,AG,0
BEDAMINI,11.5,2533.74654561021,AG,0
DARIBI,15.1,2289.22935253836,AG,0
POLOPA,4,2500.20117204638,AG,0
HAMTAI,1.9,2257.04196127623,AG,0
MEK (EIPO),5.9,2325.41185270812,AG,0
ELIPTAMIN,7,2171.67590294756,AG,0
TELEFOMIN,10.3,2219.82330576731,AG,0
FORE (SOUTH),19.9,2084.63959732317,AG,0
GADSUP(ARONA),9,2265.86894064852,AG,0
BAKTAMAN,4.4,2349.47038685461,AG,0
FAIWOLMIN,4.9,2224.96458089508,AG,0
WAM,29.7,2143.60170343381,AG,0
OKSAPMIN(BAK),12.7,2052.80011632677,AG,0
MONI,4.1,2045.71595701503,AG,0
KALAM,48.8,1953.18439012992,AG,0
NGALUM,29.8,2147.07588492249,AG,0
BINUMARIEN,7.2,2340.30106777542,AG,0
KUNIMAIPA,13.7,2106.25479346748,AG,0
WOLA,25.8,1954.19801672819,AG,0
MARING(BOMAGAI),18.3,2365.74011295157,AG,0
DANI (WEST),49.1,1511.86225837974,AG,0
AWA(ILAKIA),5.9,2272.66180084469,AG,0
BOIKEN(NYANG,73.3,2107.01697864963,AG,0
OKSAPMIN,34.7,2049.26149998376,AG,0
AUYANA,16.5,2074.19885775194,AG,0
ARAPESH(KAB),43.4,2117.62638362061,AG,0
USARUFA,36.1,1980.05438213648,AG,0
BARUYA,10.5,1694.46810452047,AG,0
TAUADE,15.2,2290.84174553292,AG,0
ABELAM(SWOSERA),3.5,2244.1041760698,AG,0
SIANE,21,1878.71485525317,AG,0
KAMANO(KAFE),17.1,2156.02103807997,AG,0
DANI (ILAGA),12.1,1869.64786238331,AG,0
KAMANO(SOUTH),18.4,2021.68174154849,AG,0
ENGA(TOMBEMA),13.7,2226.10405442954,AG,0
NARAK,12.8,2117.4148201378,AG,0
YATE,56.6,2120.50032748917,AG,0
TAIRORA(SOUT,14.1,2108.74178267729,AG,0
YAGARIA,55.2,2081.79866015843,AG,0
URAT,18.5,2153.77645046426,AG,0
ABELAM(EAST),17.7,2132.72894135294,AG,0
DUNA(HORAILE),6.8,2121.73276127691,AG,0
FORE (NORTH),29.4,2063.69266390402,AG,0
AWA(TAUNA),9.1,2238.2843977591,AG,0
GADSUP(AKUNA),33.2,2155.82615723097,AG,0
MARING(TSEM),34.4,2228.09556670314,AG,0
KAIMBI,12.4,2230.3674013387,AG,0
KWANGA (TAU),14.1,2192.74502892962,AG,0
ABELAM(CENT),61.5,2114.69203489064,AG,0
MARING(KAUW),22.3,2107.80955882861,AG,0
ARAPESH(ILAH,44.2,2144.73824554066,AG,0
GAHUKU GAMA,28.6,2195.54020321176,AG,0
