SOCIETY,LAT,LONG,SUB,SUB2,PROTEIN,DENSITY,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
BONERIF,-2.299,138.914,SH,SAGO,HUNTING,0.4,45,112.5,22.2000007629395,2671,26.7958335876465,75
BOUYE,-3.678,141.925,S-HF,SAGO-FISH,FISHING,1.4,85.4,61,21.6000003814697,2611,25.8291664123535,220
BUN,-4.529,143.896,SH-FH,HORT,FISHING,1,142,142,20.6000003814697,2790,26.3708324432373,37
CHAMBRI,-4.253,143.097,SF,SAGO-FISH,FISHING,3.7,220,59.4594594594595,21.5,2551,27.0458335876465,4
CHIMBU (CENT,-5.922,144.976,AL,AGG,LIVESTOCK,81.2,415,5.11083743842365,7.09999990463257,2316,13.3583335876465,2576
CHIMBU (UPPE,-5.9,145.052,AL,AGG,LIVESTOCK,61.3,459,7.48776508972268,10.6000003814697,2212,17.1041660308838,1995
CHUAVE,-6.165,145.139,AL,AGG,LIVESTOCK,71.4,211,2.95518207282913,10.6000003814697,2238,16.9166660308838,2055
DANI (DUGUM),-4.096,138.946,AL,AGG,LIVESTOCK,38.2,340,8.90052356020942,14.1000003814697,2066,20.3583335876465,1661
DANI (ILAGA),-3.992,137.642,HL,HORT,LIVESTOCK,12.1,217,17.9338842975207,9.10000038146973,3018,15.279167175293,2277
DANI (WEST),-3.776,138.222,HL,HORT,LIVESTOCK,49.1,155,3.15682281059063,5.59999990463257,3155,11.1833333969116,3109
DANI(BOKONDINI),-3.671,138.647,AL,AGG,LIVESTOCK,26.1,200,7.66283524904215,13.3000001907349,2543,18.9833335876465,1500
DARIBI,-6.489,144.512,HH,HORT,HUNTING,15.1,70,4.63576158940397,14.3999996185303,3421,20.8791656494141,1089
DUNA(HORAILE),-5.438,142.431,HL,HORT,LIVESTOCK,6.8,252,37.0588235294118,13,3552,18.4624996185303,1717
DUNA(YAKONA),-5.296,142.311,AL,AGG,LIVESTOCK,11.5,245,21.304347826087,18.2000007629395,3910,23.908332824707,525
DUVLI,-3.202,137.972,S-FH,SAGO-FISH,FISHING,1.8,,,21.8999996185303,3166,26.6666660308838,70
EDOPI,-3.129,137.396,SH,SAGO,HUNTING,0.7,30,42.8571428571429,21.8999996185303,3332,26.4750003814697,103
ELIPTAMIN,-5.044,141.676,HH,HORT,HUNTING,7,126,18,13.8999996185303,3651,19.1499996185303,1524
ENGA (KYAKA),-5.521,144.119,AL,AGG,LIVESTOCK,70.1,330,4.70756062767475,14.3000001907349,3284,20.3999996185303,1298
ENGA (MAE),-5.456,143.691,AL,AGG,LIVESTOCK,111.7,350,3.13339301700985,9,2663,15.3000001907349,2247
ENGA(RAIAPU LAI),-5.556,144.155,AL,AGG,LIVESTOCK,43.8,225,5.13698630136986,14.3000001907349,3432,20.4208335876465,1228
ENGA(RAIAPU SAKA,-5.57,144.101,AL,AGG,LIVESTOCK,28.4,350,12.3239436619718,12.5,2624,18.5,1673
ENGA(TOMBEMA),-5.35,143.983,HL,HORT,LIVESTOCK,13.7,219.5,16.021897810219,14,2847,19.9291667938232,1342
ENGA(YUMBISA),-5.623,143.314,AL,AGG,LIVESTOCK,17.8,449,25.2247191011236,6.90000009536743,2751,13.216667175293,2654
ETORO,-6.103,142.652,SH-H,HORT,HUNTING,1,36,36,16.7000007629395,4041,22.0125007629395,944
FAIWOLMIN,-5.29,141.502,HH,HORT,HUNTING,4.9,220,44.8979591836735,14.6999998092651,4386,19.9125003814697,1319
FASU (VALLEY),-6.538,143.194,SH,SAGO,HUNTING,1.1,37,33.6363636363636,18,4327,24.0499992370605,483
FERAMIN,-5.207,141.69,H-HL,HORT,LIVESTOCK,3.1,211,68.0645161290323,14.1999998092651,3772,19.7416667938232,1410
FOI(MUBU),-6.467,143.495,SF,SAGO-FISH,FISHING,10,121,12.1,16.2999992370605,3724,22.5208339691162,793
FORE (NORTH),-6.512,145.596,HL,HORT,LIVESTOCK,29.4,256,8.70748299319728,11.1999998092651,2212,17.6916675567627,1883
FORE (SOUTH),-6.656,145.544,HH,HORT,HUNTING,19.9,152,7.63819095477387,11.5,2210,17.966667175293,1828
GADIO,-4.919,143.222,HH,HORT,HUNTING,0.4,14,35,15.6000003814697,3036,21.154167175293,952
GADSUP(AKUNA),-6.357,145.946,HL,HORT,LIVESTOCK,33.2,269,8.10240963855422,12.3999996185303,2093,18.9291667938232,1591
GADSUP(ARONA),-6.302,146.011,HH,HORT,HUNTING,9,159,17.6666666666667,14.1999998092651,2120,20.5416660308838,1316
GAHUKU GAMA,-6.044,145.383,HL,HORT,LIVESTOCK,28.6,,,13,1984,19.4874992370605,1631
GAINJ,-5.274,144.762,H-HL,HORT,LIVESTOCK,19.5,82.1,4.21025641025641,16.3999996185303,3563,22.1166667938232,834
GEBUSI,-6.316,142.232,HH,HORT,HUNTING,1.8,42,23.3333333333333,21.1000003814697,4207,26.5041656494141,116
GENDE,-5.686,145.174,H-HL,HORT,LIVESTOCK,30.3,447,14.7524752475248,14.6999998092651,2874,20.4208335876465,1234
GIMI,-6.497,145.214,AL,AGG,LIVESTOCK,18.3,118,6.44808743169399,10.1999998092651,2404,16.5499992370605,2041
GNAU,-3.585,142.201,SH-H,HORT,HUNTING,13.4,270,20.1492537313433,20.8999996185303,2437,25.3624992370605,279
GOGODALA (W),-8.107,142.869,SH-F,HORT,FISHING,3.9,270,69.2307692307692,21.3999996185303,2546,26.3875007629395,44
GUNTAI,-8.806,141.248,HH,HORT,HUNTING,0.3,58,193.333333333333,21.7999992370605,1577,26.9249992370605,10
GURURUMBA,-5.965,145.267,AL,AGG,LIVESTOCK,40.9,238,5.81907090464548,12.1000003814697,2155,18.5791664123535,1694
HAMTAI,-7.265,146.461,HH,HORT,HUNTING,1.9,86.3,45.421052631579,15.1999998092651,2102,21.375,1135
HEWA,-5.221,142.436,HH,HORT,HUNTING,1.9,18,9.47368421052632,17.1000003814697,3629,22.341667175293,848
HULI (TOANDA,-5.935,142.96,AL,AGG,LIVESTOCK,58.5,500,8.54700854700855,12.1000003814697,2960,17.9791660308838,1817
