SOCIETY,LAT,LONG,SUB,SUB2,PROTEIN,DENSITY,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
WAROPEN,-2.256,136.526,SF,SAGO-FISH,FISHING,25.8,700,27.1317829457364,22.7000007629395,3506,26.8374996185303,20
WATAKATAUWI,-4.587,143.004,SH,SAGO,HUNTING,0.4,,,21.1000003814697,3055,26.7083339691162,34
WATAM,-3.954,144.53,SF,SAGO-FISH,FISHING,2.7,138,51.1111111111111,21.7999992370605,2371,26.7541656494141,8
WIRU,-6.351,144.216,H-HL,HORT,LIVESTOCK,32.1,416.7,12.981308411215,12.6000003814697,3198,19.3500003814697,1390
WOGAMUSIN,-4.231,142.402,SF,SAGO-FISH,FISHING,1.2,174,145,22.1000003814697,2891,27.0041675567627,18
WOLA,-6.14,143.364,HL,HORT,LIVESTOCK,25.8,133.9,5.18992248062016,10.3000001907349,2801,16.3041667938232,2066
WOVAN,-5.145,144.263,HH,HORT,HUNTING,4.6,15,3.26086956521739,15.3000001907349,3381,21.0791664123535,1068
YABIO,-4.611,142.171,SH,SAGO,HUNTING,0.8,20,25,21.7999992370605,3419,26.6833324432373,51
YADE,-3.8,141.568,SH,SAGO,HUNTING,1.1,71.9,65.3636363636364,22.2999992370605,2769,26.5583343505859,79
YAFI,-3.497,140.87,SH,SAGO,HUNTING,1.6,34.3,21.4375,21.2000007629395,2410,25.6333332061768,328
YAGARIA,-6.331,145.384,HL,HORT,LIVESTOCK,55.2,244,4.42028985507246,11.5,2178,17.9291667938232,1860
YAGWOIA,-7.024,146.098,H-HL,HORT,LIVESTOCK,4.9,30,6.12244897959184,13.3000001907349,2166,19.5625,1457
YATE,-6.317,145.543,HL,HORT,LIVESTOCK,56.6,234.4,4.14134275618375,11.8999996185303,2121,18.4458332061768,1724
YEI,-7.878,140.858,S-FH,SAGO-FISH,FISHING,0.6,265,441.666666666667,21.7000007629395,1990,26.7000007629395,29
YEREKAI,-4.294,142.949,SH,SAGO,HUNTING,1.3,97,74.6153846153846,21.2000007629395,2700,26.6666660308838,152
YIMAS,-4.727,143.573,SF,SAGO-FISH,FISHING,1.9,150,78.9473684210526,20.5,3104,26.3666667938232,30
YONGGOM,-6.404,141.217,SH-FH,HORT,HUNTING,1.1,30,27.2727272727273,21.7999992370605,4135,26.9208335876465,62
YURI,-3.78,141.096,HH,HORT,HUNTING,7.5,35,4.66666666666667,19.3999996185303,2719,23.720832824707,778
