group,source,input.human.mj,input.mj,output.mj,EROI,area,areaperson,density,mode,country
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,282.24,282.24,5061.97056,17.9349863945578,3.508893315,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,1674.624,1674.624,33112.88042,19.773322501051,13.19541571,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,1674.624,1674.624,35140.19963,20.9839340831136,1.937304478,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,360,489.6,10397.24,21.2361928104575,4.398471902,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,1674.624,1674.624,40095.86881,23.9432068392666,13.19541571,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,245.8624,245.8624,6448.950493,26.2299176002512,1.539465166,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,282.24,282.24,7795.434662,27.6198790462018,1.976841304,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,558.208,558.208,18020.61519,32.2829755037549,4.398471902,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,195.3728,195.3728,6570.015956,33.6280994897959,1.976841304,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,445.312,445.312,14974.99624,33.6280994897959,1.33436788,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,558.208,558.208,18771.47416,33.6280994897959,13.19541571,0.00515966666666667,193.810969700885,extensive,Mexico
