SOCIETY,LAT,LONG,SUB,DENSITY,PLTYSIZE,AREA
KALULI,-6.475,142.79,SH-H,3,60,20
SAMO,-6.153,142.194,HH,3.1,56,18.0645161290323
FERAMIN,-5.207,141.69,H-HL,3.1,211,68.0645161290323
IATMUL(EAST),-4.194,143.599,SF,3.3,866,262.424242424242
AMA,-4.205,141.656,SH,3.3,14,4.24242424242424
AMTO,-4.107,141.332,SH,3.3,,
WABUDA,-8.42,143.679,SF,3.4,292.5,86.0294117647059
MURIK,-3.847,144.179,SF,3.5,230,65.7142857142857
KIWAI ISLAND,-8.522,143.394,SF,3.5,,
ABELAM(SWOSERA),-3.861,142.963,HL,3.5,203.3,58.0857142857143
CHAMBRI,-4.253,143.097,SF,3.7,220,59.4594594594595
MANAMBU,-4.188,142.87,SH-F,3.7,430,116.216216216216
GOGODALA (W),-8.107,142.869,SH-F,3.9,270,69.2307692307692
POLOPA,-6.997,144.463,HH,4,75,18.75
BIMIN-KUSKUS,-5.381,142.04,AH,4,,
MONI,-3.956,136.482,HL,4.1,24.9,6.07317073170732
TIFAL,-5.117,141.411,HH,4.1,40,9.75609756097561
JAQAI,-6.605,139.256,SF,4.3,82,19.0697674418605
SAMBERIGI,-6.728,143.929,H-HL,4.3,,
BAKTAMAN,-5.437,141.886,HH,4.4,212,48.1818181818182
KAMBOT,-4.327,144.087,SF,4.6,300,65.2173913043478
IATMUL(PALIM,-4.186,143.243,S-HF,4.6,337,73.2608695652174
WOVAN,-5.145,144.263,HH,4.6,15,3.26086956521739
KORIKI/PURARI,-7.607,145.039,SF,4.7,856,182.127659574468
ABAU(IDAM),-4.147,141.26,S-FH,4.8,52,10.8333333333333
WAINA,-3.35,141.158,SH-H,4.8,205,42.7083333333333
FAIWOLMIN,-5.29,141.502,HH,4.9,220,44.8979591836735
YAGWOIA,-7.024,146.098,H-HL,4.9,30,6.12244897959184
LANGAM,-4.306,143.885,SF,5.1,200,39.2156862745098
AMANAB,-3.526,141.178,SH-H,5.2,85,16.3461538461538
ANGGOR,-3.699,141.2,SH-H,5.3,86,16.2264150943396
MALINGUAT(GAIKAROBI),-4.106,143.29,S-FH,5.6,325,58.0357142857143
KEREWO,-7.56,144.301,SF,5.8,191,32.9310344827586
NAMIE,-3.848,141.787,SH,5.9,88.5,15
AWA(ILAKIA),-6.643,145.716,HL,5.9,163,27.6271186440678
MEK (EIPO),-4.362,140.047,HH,5.9,107,18.135593220339
KWOMA(HILL),-4.139,142.716,SF,6.3,280,44.4444444444444
URAPMIN,-5.118,141.544,H-HL,6.4,50,7.8125
IATMUL(NYAUR,-4.228,143.352,S-HF,6.7,314,46.865671641791
DUNA(HORAILE),-5.438,142.431,HL,6.8,252,37.0588235294118
ELIPTAMIN,-5.044,141.676,HH,7,126,18
BINUMARIEN,-6.217,146.098,HL,7.2,110,15.2777777777778
YURI,-3.78,141.096,HH,7.5,35,4.66666666666667
SAMBIA,-7.041,145.605,HH,7.8,47.5,6.08974358974359
GADSUP(ARONA),-6.302,146.011,HH,9,159,17.6666666666667
AWA(TAUNA),-6.606,145.723,HL,9.1,263,28.9010989010989
PAIELA,-5.428,142.977,H-HL,9.8,267.8,27.3265306122449
FOI(MUBU),-6.467,143.495,SF,10,121,12.1
TELEFOMIN,-5.131,141.628,HH,10.3,133,12.9126213592233
BARUYA,-6.9,145.816,HL,10.5,198,18.8571428571429
MUYU (SOUTH),-6.049,140.893,HH,10.8,32,2.96296296296296
KOPON (LOWER,-5.213,144.375,HH,10.9,20,1.8348623853211
TAIRORA(NORT,-6.355,145.883,AL,10.9,215,19.7247706422018
ARAPESH(MOUNTAIN),-3.481,143.115,H-HL,10.9,225,20.6422018348624
KWANGA(KWANGA),-3.683,142.842,H-HL,11.2,265.7,23.7232142857143
BEDAMINI,-6.059,142.502,HH,11.5,60,5.21739130434783
DUNA(YAKONA),-5.296,142.311,AL,11.5,245,21.304347826087
DANI (ILAGA),-3.992,137.642,HL,12.1,217,17.9338842975207
KAIMBI,-5.991,144.183,HL,12.4,288,23.2258064516129
OKSAPMIN(BAK),-5.259,142.074,HH,12.7,,
NARAK,-5.56,144.752,HL,12.8,222,17.34375
GNAU,-3.585,142.201,SH-H,13.4,270,20.1492537313433
OLO(WAPE),-3.508,141.993,SH-H,13.6,190,13.9705882352941
KUNIMAIPA,-8.059,146.891,HL,13.7,110.7,8.08029197080292
ENGA(TOMBEMA),-5.35,143.983,HL,13.7,219.5,16.021897810219
ALI (ISLAND),-3.126,142.469,SF,13.8,,
TAIRORA(SOUT,-6.459,145.961,HL,14.1,240,17.0212765957447
KWANGA (TAU),-3.665,142.725,HL,14.1,323,22.9078014184397
BIWAT,-4.403,143.874,S-HF,14.2,263,18.5211267605634
KOMBIO,-3.515,142.715,SH-L,14.8,78,5.27027027027027
DARIBI,-6.489,144.512,HH,15.1,70,4.63576158940397
TAUADE,-8.307,147.101,HL,15.2,202,13.2894736842105
BOIKEN(CENTRAL),-3.733,143.411,H-HL,15.4,265.3,17.2272727272727
TUMLEO,-3.12,142.398,SF,15.5,71,4.58064516129032
MENYA,-7.159,146.074,HL,16,,
AUYANA,-6.527,145.761,HL,16.5,177,10.7272727272727
KAMANO(KAFE),-6.243,145.678,HL,17.1,207,12.1052631578947
ABELAM(EAST),-3.706,143.179,HL,17.7,247,13.954802259887
KWANGA(BONGOS),-3.743,142.665,H-HL,17.7,475.8,26.8813559322034
ENGA(YUMBISA),-5.623,143.314,AL,17.8,449,25.2247191011236
KEWA(WEST),-6.334,143.728,AL,17.9,33.8,1.88826815642458
KEWA(SOUTH),-6.68,144.009,H-HL,18.2,142.7,7.84065934065934
GIMI,-6.497,145.214,AL,18.3,118,6.44808743169399
MARING(BOMAGAI),-5.441,144.77,HL,18.3,154,8.41530054644809
KAMANO(SOUTH),-6.37,145.738,HL,18.4,218,11.8478260869565
URAT,-3.596,142.794,HL,18.5,245,13.2432432432432
BENA BENA,-6.093,145.532,AL,18.9,175,9.25925925925926
GAINJ,-5.274,144.762,H-HL,19.5,82.1,4.21025641025641
FORE (SOUTH),-6.656,145.544,HH,19.9,152,7.63819095477387
SIANE,-6.1,145.246,HL,21,204,9.71428571428571
MARING(KAUW),-5.465,144.636,HL,22.3,460,20.627802690583
IMBONGGU,-6.136,144.029,AL,23,124,5.39130434782609
KAUGEL,-5.964,144.029,AL,23.2,319,13.75
ARAPESH(BUMB),-3.644,142.876,SH-H,24,165.3,6.8875
WAROPEN,-2.256,136.526,SF,25.8,700,27.1317829457364
WOLA,-6.14,143.364,HL,25.8,133.9,5.18992248062016
DANI(BOKONDINI),-3.671,138.647,AL,26.1,200,7.66283524904215
AU,-3.529,142.109,SH-H,26.9,202,7.5092936802974
ENGA(RAIAPU SAKA,-5.57,144.101,AL,28.4,350,12.3239436619718
GAHUKU GAMA,-6.044,145.383,HL,28.6,.,
FORE (NORTH),-6.512,145.596,HL,29.4,256,8.70748299319728
WAHGI (NORTH,-5.722,144.799,AL,29.6,151,5.10135135135135
WAM,-3.53,142.877,HH,29.7,254,8.55218855218855
NGALUM,-4.862,140.604,HL,29.8,85,2.85234899328859
GENDE,-5.686,145.174,H-HL,30.3,447,14.7524752475248
KEWA(EAST),-6.343,143.934,AL,30.8,162,5.25974025974026
WIRU,-6.351,144.216,H-HL,32.1,416.7,12.981308411215
ANGANEN,-6.241,143.583,AL,32.7,.,
GADSUP(AKUNA),-6.357,145.946,HL,33.2,269,8.10240963855422
WAHGI (SOUTH,-5.99,144.753,AL,33.6,450,13.3928571428571
MARING(TSEM),-5.377,144.644,HL,34.4,280,8.13953488372093
OKSAPMIN,-5.233,142.115,HL,34.7,175,5.04322766570605
USARUFA,-6.397,145.631,HL,36.1,197,5.45706371191136
DANI (DUGUM),-4.096,138.946,AL,38.2,340,8.90052356020942
NIMBORAN,-2.593,140.187,SH-H,38.6,,
GURURUMBA,-5.965,145.267,AL,40.9,238,5.81907090464548
KAPAUKU,-4.054,136.083,AL,41,176,4.29268292682927
MENDI(SOUTH),-6.05,143.662,AL,41.9,321,7.66109785202864
ARAPESH(KAB),-3.646,143.194,HL,43.4,191.2,4.40552995391705
ENGA(RAIAPU LAI),-5.556,144.155,AL,43.8,225,5.13698630136986
ARAPESH(ILAH,-3.682,142.939,HL,44.2,503,11.3800904977376
KALAM,-5.265,144.584,HL,48.8,44,0.901639344262295
DANI (WEST),-3.776,138.222,HL,49.1,155,3.15682281059063
YAGARIA,-6.331,145.384,HL,55.2,244,4.42028985507246
MELPA (NORTH,-5.616,144.298,AL,55.9,151,2.70125223613596
YATE,-6.317,145.543,HL,56.6,234.4,4.14134275618375
HULI (TOANDA,-5.935,142.96,AL,58.5,500,8.54700854700855
MELPA (CENTR,-5.858,144.236,AL,59.5,264,4.43697478991597
CHIMBU (UPPE,-5.9,145.052,AL,61.3,459,7.48776508972268
ABELAM(CENT),-3.632,143.055,HL,61.5,326,5.30081300813008
ABELAM(NWOS),-3.754,142.993,AL,64.6,246,3.80804953560372
ENGA (KYAKA),-5.521,144.119,AL,70.1,330,4.70756062767475
CHUAVE,-6.165,145.139,AL,71.4,211,2.95518207282913
BOIKEN(NYANG,-3.656,143.296,HL,73.3,163,2.2237380627558
MENDI(MAP),-6.093,143.629,AL,78.1,302.5,3.87323943661972
CHIMBU (CENT,-5.922,144.976,AL,81.2,415,5.11083743842365
SINASINA,-6.071,145.032,AL,104,405.3,3.89711538461538
ENGA (MAE),-5.456,143.691,AL,111.7,350,3.13339301700985
