"MinTemp","CRR","MAT","Elevation","SOCIETY","LAT","LONG","SUB","DENSITY","PLTYSIZE","AREA"
17.1000003814697,3689,21.9624996185303,941,"MIANMIN(EAST",-4.858,141.568,"HH",1.4,"53",37.8571428571429
21.6000003814697,2611,25.8291664123535,220,"BOUYE",-3.678,141.925,"S-HF",1.4,"85.4",61
22,2914,27.0249996185303,15,"NGALA",-4.267,142.503,"SF",1.5,"136",90.6666666666667
21.7999992370605,3567,26.9416656494141,26,"PARE",-6.775,141.736,"SH",1.5,"44",29.3333333333333
20.8999996185303,4026,26.1416664123535,139,"ODOODEE",-6.59,142.482,"SH",1.5,"54",36
21.8999996185303,2612,26.529167175293,86,"PASI",-3.955,142.308,"SH",1.5,"60",40
21.8999996185303,3166,26.841667175293,38,"SANIO-HIOWE",-4.458,142.373,"SH",1.6,"25",15.625
21.1000003814697,5403,26.6208324432373,80,"AEKYOM",-5.76,141.53,"SH-H",1.6,"28.5",17.8125
20.7000007629395,3083,26.3374996185303,60,"ALAMBLAK",-4.669,143.316,"SH",1.6,"17",10.625
21.2000007629395,2410,25.6333332061768,328,"YAFI",-3.497,140.87,"SH",1.6,"34.3",21.4375
22.1000003814697,2575,27,12,"AUWYU(SOUTH)",-7.148,139.543,"SH-H",1.6,"",NA
21.8999996185303,2558,26.9791660308838,27,"KWOMA(NUKUMA)",-4.06,142.66,"SH",1.6,"142",88.75
21.7000007629395,2108,26.5625,35,"SUKI",-8.048,141.84,"S-FH",1.7,"",NA
17.7000007629395,4198,23.404167175293,691,"ONABASULU",-6.292,142.769,"SH-HL",1.7,"49",28.8235294117647
21.8999996185303,3166,26.6666660308838,70,"DUVLI",-3.202,137.972,"S-FH",1.8,"",NA
21.1000003814697,4207,26.5041656494141,116,"GEBUSI",-6.316,142.232,"HH",1.8,"42",23.3333333333333
21.5,2450,26.0833339691162,169,"PAHI",-3.799,142.303,"SH",1.8,"88",48.8888888888889
20.5,3104,26.3666667938232,30,"YIMAS",-4.727,143.573,"SF",1.9,"150",78.9473684210526
17.1000003814697,3629,22.341667175293,848,"HEWA",-5.221,142.436,"HH",1.9,"18",9.47368421052632
15.1999998092651,2102,21.375,1135,"HAMTAI",-7.265,146.461,"HH",1.9,"86.3",45.421052631579
21.8999996185303,2703,26.9750003814697,33,"MAYO",-4.128,142.579,"SH",1.9,"121",63.6842105263158
22.3999996185303,3171,26.9333324432373,34,"IWAM (MAY)",-4.25,141.814,"SF",2,"79",39.5
21.8999996185303,2714,26.220832824707,183,"BIAKA",-3.741,141.282,"SH-H",2,"90",45
20.2999992370605,3139,26.1124992370605,106,"ARAFUNDI(LOW",-4.763,143.687,"SH",2,"107",53.5
21.8999996185303,1462,26.6416664123535,22,"MARIND-ANIM",-9.138,141.076,"SF",2.1,"430",204.761904761905
20.8999996185303,3112,26.0208339691162,180,"KAMORO",-4.389,135.893,"SF",2.1,"501",238.571428571429
21.5,2899,25.9541664123535,186,"NOPUK",-2.611,138.404,"SH",2.1,"94",44.7619047619048
21.5,2339,27.0208339691162,28,"SENGO",-4.028,142.962,"H-HF",2.1,"266",126.666666666667
22.3999996185303,2930,26.8291664123535,64,"ABAU(GREEN R.)",-3.959,141.126,"S-FH",2.2,"32.5",14.7727272727273
21.1000003814697,2875,26.720832824707,28,"KANINGARA",-4.491,143.184,"SF",2.3,"150",65.2173913043478
21.1000003814697,2911,26.6666660308838,34,"KAPRIMAN",-4.529,143.243,"SF",2.3,"190",82.6086956521739
22.1000003814697,3799,26.9500007629395,28,"SAWI",-5.993,138.649,"SF",2.4,"157",65.4166666666667
16.7000007629395,4174,21.841667175293,951,"SELTAMIN",-5.434,141.887,"HL",2.5,"",NA
17.7000007629395,3902,22.5208339691162,960,"ATBALMIN",-4.856,141.217,"HH",2.6,"24",9.23076923076923
21.1000003814697,2001,26.9583339691162,71,"BOIKEN(KUNAI)",-3.842,143.32,"SH",2.6,"185",71.1538461538462
21.7999992370605,2371,26.7541656494141,8,"WATAM",-3.954,144.53,"SF",2.7,"138",51.1111111111111
20.7999992370605,2369,26.7124996185303,15,"MONGOL",-4.263,143.917,"SF",2.9,"150",51.7241379310345
21.7999992370605,4057,26.8791675567627,17,"ASMAT (KEENOK)",-5.167,138.219,"SF",2.9,"789",272.068965517241
NA,NA,NA,8,"ASMAT (KAWENA",-6.837,138.967,"SF",3,"511",170.333333333333
17.7999992370605,4097,23.2000007629395,769,"KALULI",-6.475,142.79,"SH-H",3,"60",20
21.1000003814697,4275,26.3791675567627,126,"SAMO",-6.153,142.194,"HH",3.1,"56",18.0645161290323
14.1999998092651,3772,19.7416667938232,1410,"FERAMIN",-5.207,141.69,"H-HL",3.1,"211",68.0645161290323
21.2000007629395,2400,26.9583339691162,7,"IATMUL(EAST)",-4.194,143.599,"SF",3.3,"866",262.424242424242
22.3999996185303,3143,26.8541660308838,47,"AMA",-4.205,141.656,"SH",3.3,"14",4.24242424242424
21.7000007629395,3075,25.966667175293,267,"AMTO",-4.107,141.332,"SH",3.3,"",NA
22,2742,26.216667175293,NA,"WABUDA",-8.42,143.679,"SF",3.4,"292.5",86.0294117647059
21.3999996185303,2082,26.8833332061768,10,"MURIK",-3.847,144.179,"SF",3.5,"230",65.7142857142857
21.8999996185303,2544,26.2416667938232,13,"KIWAI ISLAND",-8.522,143.394,"SF",3.5,"",NA
21.2999992370605,2076,26.7958335876465,63,"ABELAM(SWOSERA)",-3.861,142.963,"HL",3.5,"203.3",58.0857142857143
21.5,2551,27.0458335876465,4,"CHAMBRI",-4.253,143.097,"SF",3.7,"220",59.4594594594595
21.7999992370605,2658,27.2041664123535,25,"MANAMBU",-4.188,142.87,"SH-F",3.7,"430",116.216216216216
21.3999996185303,2546,26.3875007629395,44,"GOGODALA (W)",-8.107,142.869,"SH-F",3.9,"270",69.2307692307692
18.5,4404,24.5791664123535,211,"POLOPA",-6.997,144.463,"HH",4,"75",18.75
13.8000001907349,4010,19.0041675567627,1674,"BIMIN-KUSKUS",-5.381,142.04,"AH",4,"",NA
11.6000003814697,3344,17.4583339691162,1875,"MONI",-3.956,136.482,"HL",4.1,"24.9",6.07317073170732
13.5,4291,19.0208339691162,1456,"TIFAL",-5.117,141.411,"HH",4.1,"40",9.75609756097561
22.1000003814697,3230,26.9833335876465,30,"JAQAI",-6.605,139.256,"SF",4.3,"82",19.0697674418605
13,3521,19.7958335876465,1264,"SAMBERIGI",-6.728,143.929,"H-HL",4.3,"",NA
16.7000007629395,4174,21.841667175293,1113,"BAKTAMAN",-5.437,141.886,"HH",4.4,"212",48.1818181818182
20.7000007629395,2485,26.6166667938232,18,"KAMBOT",-4.327,144.087,"SF",4.6,"300",65.2173913043478
21.3999996185303,2455,27.0666656494141,13,"IATMUL(PALIM",-4.186,143.243,"S-HF",4.6,"337",73.2608695652174
15.3000001907349,3381,21.0791664123535,1068,"WOVAN",-5.145,144.263,"HH",4.6,"15",3.26086956521739
