"LAT","LONG","DENSITY","PLTYSIZE","AREA","MinTemp","CRR","MAT","Elevation","SOCIETY","SUB","SUB2","PROTEIN"
-3.8,141.568,1.1,71.9,65.3636363636364,22.2999992370605,2769,26.5583343505859,79,"YADE","SH","SAGO","HUNTING"
-6.404,141.217,1.1,30,27.2727272727273,21.7999992370605,4135,26.9208335876465,62,"YONGGOM","SH-FH","HORT","HUNTING"
-3.802,142.001,1.2,187,155.833333333333,22,2658,26.4833335876465,88,"AWUN","SH","SAGO","HUNTING"
-4.492,143.595,1.2,80,66.6666666666667,20.7999992370605,2803,26.6124992370605,25,"KARAWARI","SF","SAGO-FISH","FISHING"
-4.231,142.402,1.2,174,145,22.1000003814697,2891,27.0041675567627,18,"WOGAMUSIN","SF","SAGO-FISH","FISHING"
-4.472,143.062,1.3,110,84.6153846153846,21.1000003814697,2898,26.6791667938232,40,"BISIS","S-FH","SAGO-FISH","FISHING"
-4.294,142.949,1.3,97,74.6153846153846,21.2000007629395,2700,26.6666660308838,152,"YEREKAI","SH","SAGO","HUNTING"
-3.678,141.925,1.4,85.4,61,21.6000003814697,2611,25.8291664123535,220,"BOUYE","S-HF","SAGO-FISH","FISHING"
-4.306,142.117,1.4,328,234.285714285714,22.2999992370605,3087,26.9916667938232,25,"IWAM (SEPIK)","SF","SAGO-FISH","FISHING"
-4.858,141.568,1.4,53,37.8571428571429,17.1000003814697,3689,21.9624996185303,941,"MIANMIN(EAST","HH","HORT","HUNTING"
-4.267,142.503,1.5,136,90.6666666666667,22,2914,27.0249996185303,15,"NGALA","SF","SAGO-FISH","FISHING"
-6.59,142.482,1.5,54,36,20.8999996185303,4026,26.1416664123535,139,"ODOODEE","SH","SAGO","HUNTING"
-6.775,141.736,1.5,44,29.3333333333333,21.7999992370605,3567,26.9416656494141,26,"PARE","SH","SAGO","HUNTING"
-3.955,142.308,1.5,60,40,21.8999996185303,2612,26.529167175293,86,"PASI","SH","SAGO","HUNTING"
-5.76,141.53,1.6,28.5,17.8125,21.1000003814697,5403,26.6208324432373,80,"AEKYOM","SH-H","HORT","HUNTING"
-4.669,143.316,1.6,17,10.625,20.7000007629395,3083,26.3374996185303,60,"ALAMBLAK","SH","SAGO","HUNTING"
-7.148,139.543,1.6,170.407449662365,163.8275195645,22.1000003814697,2575,27,12,"AUWYU(SOUTH)","SH-H","HORT","HUNTING"
-4.06,142.66,1.6,142,88.75,21.8999996185303,2558,26.9791660308838,27,"KWOMA(NUKUMA)","SH","SAGO","HUNTING"
-4.458,142.373,1.6,25,15.625,21.8999996185303,3166,26.841667175293,38,"SANIO-HIOWE","SH","SAGO","HUNTING"
-3.497,140.87,1.6,34.3,21.4375,21.2000007629395,2410,25.6333332061768,328,"YAFI","SH","SAGO","HUNTING"
-6.292,142.769,1.7,49,28.8235294117647,17.7000007629395,4198,23.404167175293,691,"ONABASULU","SH-HL","HORT","HUNTING"
-8.048,141.84,1.7,136.041378730881,121.674099391872,21.7000007629395,2108,26.5625,35,"SUKI","S-FH","SAGO-FISH","FISHING"
-3.202,137.972,1.8,84.0166901230157,61.5662808967578,21.8999996185303,3166,26.6666660308838,70,"DUVLI","S-FH","SAGO-FISH","FISHING"
